"GEOID","suffix","n","proportion"
"18099","RD",688,0.33252779120348
"18101","RD",278,0.205014749262537
"18103","ST",461,0.266782407407407
"18105","DR",829,0.226502732240437
"18107","ST",411,0.21723044397463
"18109","RD",631,0.2104736490994
"18111","ST",281,0.229200652528548
"18113","ST",490,0.268935236004391
"18115","RD",103,0.443965517241379
"18117","ST",362,0.229549778059607
"18119","RD",590,0.317374932759548
"18121","ST",271,0.19426523297491
"18123","RD",465,0.444126074498567
"18125","ST",276,0.23731728288908
"18127","DR",940,0.177559501322252
"18129","RD",503,0.325566343042071
"18131","W",265,0.215622457282343
"18133","ST",285,0.159128978224456
"18135","ST",422,0.376449598572703
"18137","ST",284,0.238255033557047
"18139","ST",285,0.304487179487179
"18141","ST",1510,0.215038450583879
"18143","RD",245,0.252317198764161
"18145","ST",349,0.223431498079385
"18147","N",343,0.233174711080897
"18149","ST",309,0.281677301731996
"18151","LAKE",394,0.164098292378176
"18153","ST",516,0.345612860013396
"18155","RD",337,0.551554828150573
"18157","DR",870,0.207340324118208
"18159","ST",227,0.364365971107544
"18161","RD",158,0.336170212765957
"18163","DR",1040,0.241411327762303
"18165","ST",386,0.41063829787234
"18167","ST",1273,0.30016505541146
"18169","ST",403,0.261688311688312
"18171","ST",175,0.275590551181102
"18173","RD",585,0.218283582089552
"18175","RD",634,0.476691729323308
"18177","ST",727,0.393824485373781
"18179","ST",262,0.247403210576015
"18181","ST",388,0.25359477124183
"18183","ST",210,0.158251695553881
"19001","ST",367,0.542899408284024
"19003","ST",179,0.412442396313364
"19005","RD",285,0.286144578313253
"19007","ST",590,0.502983802216539
"19009","ST",247,0.521097046413502
"19011","ST",363,0.293451899757478
"19013","ST",850,0.277505713352922
"19015","ST",531,0.481851179673321
"19017","ST",363,0.338935574229692
"19019","ST",424,0.367736339982654
"19021","ST",395,0.509677419354839
"19023","ST",519,0.589103291713961
"19025","ST",355,0.525147928994083
"19027","ST",519,0.526369168356998
"19029","ST",412,0.508641975308642
"19031","ST",473,0.444131455399061
